"id","title","authors","year","venue","search_strings"
"1","Comparative Analysis of Large Language Model Tools for Automated Test Data Generation from BDD","Isela Mendoza; F. S. Filho; Gustavo Medeiros; Aline Paes; Vania de Oliveira Neves","2026","Semantic Scholar","String A"
"2","Automating Behavior-Driven Development with Generative AI: Enhancing Efficiency in Test Automation","Sujeet Kumar Tiwari","2026","Semantic Scholar","String A"
"3","Automated Test Generation Using LLM Based on BDD: A Comparative Study","S. Santos; Luiz Felipe Cirqueira dos Santos; Fabio Gomes Rocha","2026","Semantic Scholar","String A"
"4","A Comparative Study of LLMs for Gherkin Generation","Hiago Fernandes; M. Perkusich; A. Perkusich","2026","Semantic Scholar","String A"
"5","Exploring the Synergy: User Stories in Agile Software Development","Siti Nur Fathin Najwa Binti Mustaffa; Jamaludin Bin Sallim; Rozlina Binti Mohamed","2026","Semantic Scholar","String A"
"6","InteractiveReq: Enhancing Software Requirement Specification with Critiquing-based Recommender Systems","Sebastian Lubos; Alexander Felfernig; Ivan Dukic","2026","Semantic Scholar","String A"
"7","AI-Generated User Stories: Are They Good Enough?","Reine Santos; Igor Steinmacher; T. Conte; A. Oran; Bruno Gadelha","2026","Semantic Scholar","String A"
"8","NATURAL LANGUAGE PROCESSING PIPELINE FOR CO-DESIGNING CULTURALLY AWARE HEALTH CHATBOTS FROM USER STORIES TO SYSTEM SPECIFICATIONS","Oritsemeyiwa Gabriel Orugboh","2026","Semantic Scholar","String A"
"9","An Aggregated Dataset of Agile User Stories and Use Case Taxonomy for AI-Driven Research","Abdulrahim Alhaizaey; Majed Al-Mashari","2026","Semantic Scholar","String A"
"10","API Test Case Generation by Extracting HTTP Requests During Front-End Testing","Yi-Jie Guo; Shang-Pin Ma; Hsin-Jui Peng; Yu-Sheng Su","2026","Semantic Scholar","String B"
"11","Reverse-Engineering and Automating BDD for Modern Software Development with LLMs","Sagar B. Patel; Sajal Nigam; Shrikanth Mahale","2026","Semantic Scholar","String B"
"12","Continuous Security through Integration Testing in an Electronic Health Records System","S. Purkayastha; Shreya Goyal; Tyler Phillips; Huanmei Wu; Brandon Haakenson; X. Zou","2026","Semantic Scholar","String B"
"13","Uma abordagem orientada a aspecto para escrita de historia do usuario com Gherkin","M. Araujo","2026","Semantic Scholar","String B"
"14","Behaviour-Driven Development Applied to the Conformance Testing of INSPIRE Web Services","F. Lopez-Pellicer; M. Latre; J. Nogueras-Iso; F. J. Zarazaga-Soria; J. Barrera","2026","Semantic Scholar","String B"
